Variation of NA 

Porph Concentration: 5.000000e-05
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 6.384487e+06	 8.249288e+05	 5.787368e+10	 7.477760e+09
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 5.706301e+06	 7.373016e+05	 5.172610e+10	 6.683442e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 3.601837e+06	 4.653873e+05	 3.264969e+10	 4.218612e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 2.283472e+06	 2.950435e+05	 2.069906e+10	 2.674491e+09

Porph Concentration: 2.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 2.102180e+05	 2.716191e+04	 1.905570e+09	 2.462155e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 8.275897e+05	 1.069315e+05	 7.501880e+09	 9.693053e+08
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 2.311392e+06	 2.986510e+05	 2.095215e+10	 2.707192e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 5.034739e+06	 6.505301e+05	 4.563857e+10	 5.896882e+09
